iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
BJ;Bénin;FR;1000127461;Alibori;Banikoara;;;Banikoara;;;11.293970;2.439285;311;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127462;Alibori;Banikoara;;;Founougo;;;11.465990;2.539781;287;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127463;Alibori;Banikoara;;;Gomparou;;;11.328576;2.471542;291;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127464;Alibori;Banikoara;;;Goumori;;;11.178435;2.299982;304;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127465;Alibori;Banikoara;;;Kokey;;;11.183333;2.283333;308;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127466;Alibori;Banikoara;;;Kokiborou;;;11.202332;2.320930;297;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127467;Alibori;Banikoara;;;Ounet;;;11.227149;2.404817;298;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127468;Alibori;Banikoara;;;Sompérékou;;;11.322743;2.491331;283;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127469;Alibori;Banikoara;;;Soroko;;;11.327791;2.466952;296;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127470;Alibori;Banikoara;;;Toura;;;11.243611;2.383056;292;BJ-AL;BN07;;BJ.AL.BA;;Africa/Porto-Novo;+01:00;+01:00
BJ;Bénin;FR;1000127471;Alibori;Gogounou;;;Bagou;;;10.812038;2.724489;309;BJ-AL;BN07;;BJ.AL.GO;;Africa/Porto-Novo;+01:00;+01:00
